norm_name,github_login,confidence,gh_name,gh_company,followers,method,resolved_at,recheck_after
sebastian malaca,smalaca,HIGH,Sebastian Malaca,,49,fullname+jvmrepo,2026-06-28,
tomasz manugiewicz,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
simon maple,sjmaple,HIGH,Simon Maple,Snyk,55,fullname+dominant,2026-06-28,
jacek marmuszewski,jmarmuszewski,MED,Jacek Marmuszewski,,5,fullname,2026-06-28,2026-09-26
jan mazurek,Maiquey,MED,Jan Mazurek,,3,fullname,2026-06-28,2026-09-26
natalia miko ajek,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
jacek milewski,yacekmm,HIGH,Jacek Milewski,,24,fullname+jvmrepo,2026-06-28,
gunnar morling,gunnarmorling,HIGH,Gunnar Morling,Confluent,2668,fullname,2026-06-28,
nicolai parlog,nipafx,HIGH,Nicolai Parlog,Oracle,918,fullname,2026-06-28,
dawid perdek,,UNRESOLVED,,,,fullname,2026-06-28,2026-09-26
sven peters,svenpet,HIGH,Sven Peters,Atlassian,3,fullname,2026-06-28,
pawel piwosz,pawelpiwosz,MED,Pawel Piwosz,,76,fullname,2026-06-28,2026-09-26
micha poczwardowski,dmp0x7c5,MED,Michał Poczwardowski,,10,fullname,2026-06-28,2026-09-26
krzysiek przekwas,,UNRESOLVED,,,,fullname,2026-06-28,2026-09-26
piotr przyby,pioorg,HIGH,Piotr Przybył,Elastic,63,fullname,2026-06-28,
daniel raniz raneland,Raniz85,HIGH,Raniz Daniel Raneland,@factor10,20,fullname,2026-06-28,
balkrishna rawool,balkrishnarawool,HIGH,Balkrishna Rawool,ING,63,fullname,2026-06-28,
simon ritter,speakjava,HIGH,Simon Ritter,Oracle,55,fullname+jvmrepo,2026-06-28,
abdellfetah sghiouar,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
grzegorz sztandera,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
muhammed salih guler,msalihguler,HIGH,Muhammed Salih Güler,,32,fullname+jvmrepo,2026-06-28,
marcin samsonowski,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
christian schabetsberger,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
sven sellen,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
tomasz skowronski,hexmind,HIGH,Tomasz Skowroński,Resilience4j core team,17,fullname+jvmrepo,2026-06-28,
piotr sliwa,psliwa,HIGH,Piotr Śliwa,@ocadotechnology ,92,fullname+jvmrepo,2026-06-28,
szymon so tys,szymonHtf,MED,Szymon Sołtys,,1,fullname,2026-06-28,2026-09-26
